"Name","City","County (inferred)","Website","Special‑needs / inclusion language on site"
"UCP Bailes Early Childhood Academy (UCP Charter Schools – Early Education)","Orlando","Orange","https://www.ucpcharter.org/beca","Described as an “inclusive campus” built on the belief that “children of all abilities deserve an education that helps them grow, learn, and thrive together,” welcoming children with and without disabilities in an inclusive environment."
"Kids Incorporated Early Head Start (childcare centers run by Kids Incorporated of the Big Bend)","Tallahassee area (Big Bend)","Likely Leon and surrounding","https://kidsincorporated.org/programs/early-head-start/","States that “a minimum of 10% of the children served at our childcare centers have special needs,” and that they are “equipped to serve the needs of every family, including those whose children have special needs,” with therapists working in the classroom."
"Bumblebee Academy","Likely Central Florida (exact city not on snippet)","Unknown (needs confirm)","https://www.bumblebeeacademyfl.com","Describes itself as “a learning center that focuses on a small, inclusive classroom learning environment that allows pre-school … students to learn from each other and achieve individual goals,” implying inclusive classrooms and individualized support."
"YMCA Early Learning Academy (Southwest Florida YMCA)","Venice (example site)","Sarasota","https://www.ymcaswfl.org/programs/child-care/early-learning","States that the YMCA “recognizes the strength of diversity in classrooms and makes every reasonable accommodation for all children’s success” and “very openly welcome[s] third party paraprofessionals and/or behavioral therapists to accompany your early learner,” indicating inclusive, accommodating childcare for diverse abilities."
"Easterseals School for Limitless Learning","(Easterseals Florida site; city not in snippet but Florida-based program)","Unknown (needs confirm)","https://florida.easterseals.com/get-support/areas-of-support/early-childhood-care/easterseals-school-for-limitless-learning","Markets a “state-of-the-art Sensory Room” and emphasizes early childhood care and learning, which fits your “sensory room” focus within a school/childcare context. You’ll want to double-check it is licensed as a school/early childhood center rather than a clinic at your ingestion step."
"Launch Learning Preschool","Merritt Island","Brevard","https://www.321launch.organdhttps://www.321launch.org/about-us","Parent review and program description highlight a dedicated “sensory room” and “specialized Sensory Room combined with a sensory infused curriculum” providing a “rich sensory diet,” indicating a sensory-focused preschool environment."
"Sunrise Children’s Services Early Childhood Education Preschool","Likely Miami‑Dade (Sunrise Community)","Likely Miami‑Dade","https://sunrisegroup.org/childrens-services/","Described as a “developmental preschool” serving “typically developing children, children with developmental disabilities and those ‘at-risk’ for developmental delays,” with students learning and playing “in an inclusive, all-abilities learning environment.”"
"RCCA Preschool (Rehabilitation Center for Children and Adults)","Palm Beach","Palm Beach","https://rcca.org/preschool-2/","Explicitly promoted as “an inclusive setting for children with and without special needs,” with a special education certified teacher and licensed OT/PT/speech therapists on staff, using a developmentally appropriate curriculum."
"Special Kids Early Intervention (child care center)","Leesburg","Lake","https://www.care.com/b/l/special-kids-early-intervention/leesburg-fl","Listed as a child care center offering “Developmental (play-based), Special needs, Preschool (or nursery school),” indicating they explicitly serve children with special needs in a preschool/daycare format."
"Harbor View Creative Learning Center","Palm Harbor","Pinellas","https://www.care.com/b/l/harbor-view-creative-learning-center-llc/palm-harbor-fl","Identified as a child care center that offers “Developmental (play-based)… Child care center/day care center, Special needs care,” suggesting inclusive childcare with specific support for special needs."
"Discovery Learning Center, Parc Center for Disabilities","St. Petersburg","Pinellas","https://www.parc-fl.org/programs/childrens-services/","Described as an “inclusive preschool” for children from 2 months to 5 years, with “tailored early learning experiences that cater to diverse intellectual and developmental needs,” emphasizing individualized support in an inclusive setting."
"DLC Nurse & Learn (inclusion non‑profit child care center)","Jacksonville","Duval","https://www.kidshopealliance.org/essential-services/special-needs/special-needs-providers","Listed as “an inclusion nonprofit child care center for children of all abilities, with and without developmental delays, where each child is taught at their own pace,” explicitly covering “all abilities” and developmental delays in a childcare context."
"Little Achievers Daycare (from snippet)","Lutz","Hillsborough","https://littleachieversdc.com/about-us","Describes a daycare space that “empowers children of all abilities” and focuses on social and emotional development in “a safe, nurturing, and stimulating space,” clearly referencing “all abilities.”"