position,column_name,data_type,full_type,is_nullable,column_default,constraints
1,id,bigint,"bigint(64,0)",NO,nextval('resources_id_seq'::regclass),PRIMARY KEY
2,created_at,timestamp with time zone,timestamp with time zone,YES,now(),
3,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),
4,name,text,text,NO,null,
5,category,text,text,NO,null,
6,subcategory,text,text,YES,null,
7,description,text,text,YES,null,
8,slug,text,text,YES,null,UNIQUE
9,accommodations,ARRAY,ARRAY,YES,null,
10,age_groups,ARRAY,ARRAY,YES,null,
11,programs,ARRAY,ARRAY,YES,null,
12,address,text,text,YES,null,
13,city,text,text,YES,null,
14,county,text,text,YES,null,
15,state,text,text,YES,'FL'::text,
16,zip_code,text,text,YES,null,
17,latitude,numeric,numeric,YES,null,
18,longitude,numeric,numeric,YES,null,
19,phone,text,text,YES,null,
20,normalized_phone,text,text,YES,null,
21,email,text,text,YES,null,
22,website,text,text,YES,null,
23,hours,text,text,YES,null,
24,denomination,text,text,YES,null,
25,sensory_room,text,text,YES,null,
26,alternative_service,text,text,YES,null,
27,children_program,text,text,YES,null,
28,adult_program,text,text,YES,null,
29,accommodation_snippet,text,text,YES,null,
30,accommodation_tags,text,text,YES,null,
31,service_type,text,text,YES,null,
32,rating,numeric,numeric,YES,null,
33,user_ratings_total,integer,"integer(32,0)",YES,null,
34,google_place_id,text,text,YES,null,
35,links,jsonb,jsonb,YES,'[]'::jsonb,
36,image_url,text,text,YES,null,
37,verified,boolean,boolean,YES,false,
38,last_verified_date,date,date,YES,null,
39,featured,boolean,boolean,YES,false,
40,accessibility_info,text,text,YES,null,
41,source,text,text,YES,null,
42,search_vector,tsvector,tsvector,YES,null,
43,services,ARRAY,ARRAY,YES,null,
44,insurances,ARRAY,ARRAY,YES,null,
45,scholarships,ARRAY,ARRAY,YES,null,
46,address1,text,text,YES,null,
47,address2,text,text,YES,null,
48,address_original,text,text,YES,null,
49,needs_review,boolean,boolean,YES,false,
50,review_reason,text,text,YES,null,
52,address2_needs_manual_review,text,text,YES,null,
54,resource_type,character varying,character varying(50),YES,'provider'::character varying,